category_id,entity_id,position,product_id
384,144,0,60
398,145,0,60
384,146,0,61
398,147,0,61
384,148,0,62
398,149,0,62
402,150,0,63
381,151,0,64
414,152,0,64
478,153,0,64
384,154,0,65
398,155,0,65
381,156,0,66
414,157,0,66
478,158,0,66
381,159,0,67
414,160,0,67
478,161,0,67
381,162,0,68
414,163,0,68
478,164,0,68
384,165,0,69
398,166,0,69
402,167,0,70
381,168,0,71
414,169,0,71
478,170,0,71
384,171,0,72
398,172,0,72
381,173,0,73
414,174,0,73
478,175,0,73
384,176,0,74
398,177,0,74
402,178,0,75
381,179,0,76
414,180,0,76
478,181,0,76
381,182,0,77
414,183,0,77
478,184,0,77
402,185,0,78
381,186,0,79
414,187,0,79
478,188,0,79
381,189,0,80
414,190,0,80
472,191,0,80
384,192,0,81
398,193,0,81
384,194,0,82
398,195,0,82
384,196,0,83
398,197,0,83
384,198,0,84
398,199,0,84
384,200,0,85
398,201,0,85
384,202,0,86
398,203,0,86
384,204,0,87
398,205,0,87
384,206,0,88
398,207,0,88
384,208,0,89
402,209,0,89
384,210,0,90
402,211,0,90
384,212,0,91
402,213,0,91
384,214,0,92
402,215,0,92
384,216,0,93
402,217,0,93
384,218,0,94
402,219,0,94
384,220,0,95
402,221,0,95
384,222,0,96
402,223,0,96
384,224,0,97
402,225,0,97
384,226,0,98
402,227,0,98
382,228,0,99
391,229,0,99
433,230,0,99
384,231,0,100
402,232,0,100
382,233,0,101
391,234,0,101
433,235,0,101
384,236,0,102
402,237,0,102
382,238,0,103
391,239,0,103
433,240,0,103
382,241,0,104
391,242,0,104
433,243,0,104
384,244,0,105
402,245,0,105
384,246,0,106
402,247,0,106
382,248,0,107
391,249,0,107
433,250,0,107
382,251,0,108
391,252,0,108
433,253,0,108
384,254,0,109
402,255,0,109
382,256,0,110
391,257,0,110
433,258,0,110
384,259,0,111
402,260,0,111
384,261,0,112
402,262,0,112
382,263,0,113
391,264,0,113
433,265,0,113
384,266,0,114
402,267,0,114
382,268,0,115
391,269,0,115
433,270,0,115
382,271,0,116
391,272,0,116
433,273,0,116
384,274,0,117
402,275,0,117
382,276,0,118
391,277,0,118
433,278,0,118
384,279,0,119
402,280,0,119
382,281,0,120
391,282,0,120
433,283,0,120
384,284,0,121
