customer_id,increment_id,item_id,name,order_id,product_id,qty_ordered,sku
301,AR520B012DDB9F2A,1744,Akshaya's Tulasi ark 500ml,903,510,1.0000,Variation #5633 of Tulasi ark 200ml
301,AR520B012DDB9F2A,1745,Variation #5633 of Tulasi ark 200ml,903,511,1.0000,Variation #5633 of Tulasi ark 200ml
301,AR521264673F19B0,1746,Arogya Rahasya Joint Less Copper Bottle,904,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR52218C471F9F85,1747,Arogya Rahasya Joint Less Copper Bottle,905,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
248,AR523D0398C5C33E,1748,Arogya Rahasya Joint Less Copper Bottle,906,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
248,AR52431B28796867,1749,24 Mantra Almond and Moringa Chikki Combo,907,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
248,AR525549AB744FC6,1750,Arogya Rahasya Joint Less Copper Bottle,908,1502,2.0000,Arogya Rahasya Joint Less Copper Bottle
248,AR526AA62FE6A168,1751,24 Mantra Almond and Moringa Chikki Combo,909,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
248,AR5273754C473775,1752,Arogya Rahasya Joint Less Copper Bottle,910,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
248,AR528E5BE0363060,1753,Grenera Organics GREEN TEA 200 GRAM -100 TEA BAGS / BOX,911,1468,1.0000,Grenera Organics GREEN TEA 200 GRAM -100 TEA BAGS / BOX
248,AR52964BAA82E733,1754,Amlamrut Amla honey 300gms,912,1476,1.0000,Amlamrut Amla honey 300gms
301,AR53040DD3DAE86D,1755,Arogya Rahasya Kya yah aazadi hai ya ghulami Hindi CD 1pc,913,186,2.0000,Arogya Rahasya Kya yah aazadi hai ya ghulami Hindi CD 1pc
301,AR53040DD3DAE86D,1756,Arogyarahasya Prana shakthi 15ml,913,1068,3.0000,Arogyarahasya Prana shakthi 15ml
,AR531896676CD9E3,1757,Terra greens Raw Pea Nuts 1kg,914,1297,1.0000,Terra greens Raw Pea Nuts 1kg
,AR531896676CD9E3,1758,Herbal Hair Oil 100ml,914,1177,1.0000,Herbal Hair Oil 100ml
,AR531896676CD9E3,1759,Adarsh Goseva Angarag Bath Powder,914,636,1.0000,Variation #6307 of Angarag Bath Powder
,AR531896676CD9E3,1760,Variation #6307 of Angarag Bath Powder,914,637,1.0000,Variation #6307 of Angarag Bath Powder
,AR531896676CD9E3,1761,Adarsh Goseva Angarag Bath Powder,914,636,1.0000,Variation #6308 of Angarag Bath Powder
,AR531896676CD9E3,1762,Variation #6308 of Angarag Bath Powder,914,638,1.0000,Variation #6308 of Angarag Bath Powder
,AR531896676CD9E3,1763,Arogya Rahasya Joint Less Copper Bottle,914,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
,AR53262F65508CB5,1764,Amlamrut Amla honey 300gms,915,1476,1.0000,Amlamrut Amla honey 300gms
305,AR533457646A4010,1765,Arogya Rahasya Joint Less Copper Bottle,916,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
305,AR533457646A4010,1766,Arogya Rahasya Joint Less Copper Bottle,916,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
305,AR533457646A4010,1767,Arogya Rahasya Joint Less Copper Bottle,916,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
305,AR533457646A4010,1768,Arogya Rahasya Joint Less Copper Bottle,916,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
305,AR533457646A4010,1769,Arogya Rahasya Joint Less Copper Bottle,916,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
155,AR534FA56A660985,1770,Organic India Organic Desi Ghee 450 ML,917,1041,1.0000,Organic India Organic Desi Ghee 450 ML
155,AR534FA56A660985,1771,C2K Desi cow ghee 500gms,917,1498,1.0000,C2K Desi cow ghee 500gms
155,AR535038522D8AAF,1772,Arogya Rahasya Iron Kadai with wooden handle 8 Inches,918,1344,1.0000,Arogya Rahasya Iron Kadai with wooden handle 8 Inches
,AR53663641C1DC47,1773,Indus Valley Moroccan Argan Hair Care Oil,919,1188,6.0000,Indus Valley Moroccan Argan Hair Care Oil
,AR53663641C1DC47,1774,Arogya Rahasya Himalayan Rock salt Globe Lamp,919,218,1.0000,Arogya Rahasya Himalayan Rock salt Globe Lamp
,AR53663641C1DC47,1775,Arogya Rahasya Joint Less Copper Bottle,919,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
,AR53663641C1DC47,1776,Arogya Rahasya Cow dung Cakes,919,1285,1.0000,Arogya Rahasya Cow dung Cakes
,AR537BEF20E68527,1777,Arogya Rahasya Cow dung Cakes,920,1285,1.0000,Arogya Rahasya Cow dung Cakes
,AR5381D9D309A82B,1778,"INLIFE™ Flaxseed Oil Omega 369 fatty acids Supplement, 500mg (60 Capsules)",921,549,1.0000,549
301,AR5396174F10BA75,1779,24 Mantra Almonds,922,1503,1.0000,24 Mantra Almonds
301,AR5396174F10BA75,1780,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm,922,1436,1.0000,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm
